                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0913,                  4.118,                 4.2298,                0.00118,                0.28571,                0.00885,                0.00211,                 2.7471,                 4.3949,                 4.1571,             0.00018337,             0.00018337,             0.00018337
                      2,                 3.1671,                 4.0229,                 4.1717,                0.00172,                0.41837,                0.06908,                0.01127,                  2.746,                 4.3955,                 4.1476,             0.00037961,             0.00037961,             0.00037961
                      3,                 3.1739,                  3.862,                 4.1385,                0.00183,                0.42857,                0.13047,                0.03046,                 2.7433,                 4.3836,                  4.125,              0.0005719,              0.0005719,              0.0005719
                      4,                 3.1387,                 3.7493,                 4.0282,                0.00183,                0.42857,                0.09223,                0.02294,                 2.7463,                 4.3369,                 4.0754,             0.00076022,             0.00076022,             0.00076022
                      5,                 3.0971,                 3.6009,                 3.9012,                0.00245,                0.42857,                 0.0037,                 0.0011,                  2.758,                 4.2993,                  4.164,             0.00094458,             0.00094458,             0.00094458
                      6,                 3.0607,                 3.4794,                 3.8091,                0.00156,                0.36735,                0.04996,                0.02066,                 2.7877,                 4.2695,                  3.848,               0.001125,               0.001125,               0.001125
                      7,                 3.1252,                 3.3829,                 3.7327,                0.55028,                0.21429,                0.07429,                0.02732,                 2.8061,                 9.8415,                 3.7366,              0.0013014,              0.0013014,              0.0013014
                      8,                 3.0549,                 3.1877,                 3.6513,                0.61017,                0.15306,                 0.0915,                0.02486,                 2.8171,                 16.676,                 3.8702,              0.0014739,              0.0014739,              0.0014739
                      9,                 3.1205,                 3.1523,                 3.6313,                0.51243,                0.15306,                0.06737,                0.02271,                 2.9223,                 101.59,                 4.8907,               0.001535,               0.001535,               0.001535
                     10,                 2.9853,                 3.1862,                 3.5577,                0.51521,                0.03061,                0.02179,                0.00356,                 2.8605,                 44.743,                 4.1665,              0.0015185,              0.0015185,              0.0015185
                     11,                 3.0283,                 3.1849,                 3.5274,                0.50371,                0.17347,                0.00424,                0.00135,                 2.6319,                 11.597,                 3.8539,               0.001502,               0.001502,               0.001502
                     12,                 2.9173,                 3.0648,                 3.4237,                0.54517,                0.16327,                0.06297,                0.01565,                  2.771,                  7.305,                 3.5391,              0.0014855,              0.0014855,              0.0014855
                     13,                 2.8617,                 2.9771,                 3.4549,                0.60186,                0.12245,                0.06624,                 0.0228,                 2.7881,                 7.7173,                 3.6439,               0.001469,               0.001469,               0.001469
                     14,                 2.7059,                 2.8567,                 3.3191,                0.54283,                0.03061,                0.01305,                0.00499,                 2.5726,                 4.9028,                 3.6237,              0.0014525,              0.0014525,              0.0014525
                     15,                  2.524,                 2.8742,                 3.2135,                0.60001,                0.16327,                 0.1309,                0.03594,                 2.5303,                 3.6528,                 3.4005,               0.001436,               0.001436,               0.001436
                     16,                 2.5881,                 2.7876,                 3.2387,                0.56755,                0.17347,                0.08404,                0.02316,                 2.4459,                 3.8506,                 3.4511,              0.0014195,              0.0014195,              0.0014195
                     17,                 2.5634,                  2.829,                 3.2105,                 0.6607,                0.20408,                0.15749,                0.05515,                 2.4297,                 4.2616,                 3.3594,              0.0014029,              0.0014029,              0.0014029
